scan,ctemp,angle,intensity,shift,fitted_center,fitted_sigma,is_shifted,is_changing,status
0,511.47961,22.14202,412.5517,0.0,22.153204565929652,0.13798449038268848,False,False,stable
0,511.47961,17.35648,353.25036,0.0,17.35017129124042,0.16105344938511476,False,False,stable
0,511.47961,24.96091,298.56012,0.0,25.011759611356503,0.2526354377137132,False,False,stable
0,511.47961,16.60259,240.26902,0.0,16.603209782291522,0.17471002696963,False,False,stable
1,516.51782,22.14202,413.4034,0.0,22.152057673408198,0.1375244572307544,False,False,stable
1,516.51782,17.35648,352.68026,0.0,17.348625741237147,0.16087772363030212,False,False,stable
1,516.51782,24.96091,297.84326,0.0,25.010294517046688,0.25465010243742703,False,False,stable
1,516.51782,16.60259,240.41598,0.0,16.60230223769898,0.17456252634298128,False,False,stable
2,521.28119,22.14202,413.39790000000005,0.0,22.151300569770854,0.13730142375868312,False,False,stable
2,521.28119,17.35648,351.5165999999999,0.0,17.346766164864245,0.16094663101992895,False,False,stable
2,521.28119,24.92813,297.54966,-0.03277999999999892,24.997975579500995,0.2362334352166797,True,False,stable
2,521.28119,16.60259,238.88881999999998,0.0,16.60173424974678,0.17588576081125054,False,False,stable
3,526.56451,22.14202,413.9031,0.0,22.150854741982283,0.13729498264702678,False,False,stable
3,526.56451,17.35648,351.39384,0.0,17.346441151868543,0.16082490960267493,False,False,stable
3,526.56451,24.92813,297.78574,0.0,24.99615965030147,0.23491934245857626,False,False,stable
3,526.56451,16.60259,239.32714,0.0,16.600554779441115,0.17484599316178753,False,False,stable
4,533.01233,22.14202,415.19350000000003,0.0,22.150003725407323,0.1373378268190125,False,False,stable
4,533.01233,17.35648,353.64004000000006,0.0,17.34536486460816,0.15995376951808216,False,True,stable
4,533.01233,24.92813,298.92338,0.0,24.995535469986,0.23727535853530868,False,False,stable
4,533.01233,16.60259,240.30610000000001,0.0,16.600038710744972,0.175448698104467,False,False,stable
5,538.96759,22.14202,419.09308,0.0,22.148937644272387,0.13651001184340153,False,True,stable
5,538.96759,17.35648,355.70336000000003,0.0,17.343314150559415,0.15966913946033112,False,True,stable
5,538.96759,24.92813,302.74554,0.0,24.992109971686276,0.23538037525487907,False,True,stable
5,538.96759,16.60259,241.36318,0.0,16.598986502998454,0.1756763361700305,False,False,stable
6,544.1214,22.14202,419.67146,0.0,22.1476901100526,0.136182340274015,False,False,stable
6,544.1214,17.35648,355.50868,0.0,17.3424464463611,0.15936856205755218,False,False,stable
6,544.1214,24.92813,302.84238,0.0,24.99053743184088,0.23625553446328773,False,False,stable
6,544.1214,16.60259,241.2183,0.0,16.597423762693666,0.17599548722441816,False,False,stable
7,549.02368,22.14202,420.71831999999995,0.0,22.14716404734936,0.13574472313241304,False,False,stable
7,549.02368,17.35648,355.22190000000006,0.0,17.34083888164457,0.15877018968555773,False,False,stable
7,549.02368,24.92813,302.65342,0.0,24.988885780585235,0.23650108778219914,False,False,stable
7,549.02368,16.60259,241.38766,0.0,16.597287887732488,0.17582768503821214,False,False,stable
8,554.1543,22.14202,421.30002,0.0,22.146234440713908,0.13531145249256948,False,False,stable
8,554.1543,17.3237,356.90078000000005,-0.032780000000002474,17.334755242021956,0.15901625917464648,True,True,stable
8,554.1543,24.92813,302.92578,0.0,24.988078902424427,0.23863519491897775,False,False,stable
8,554.1543,16.60259,240.92669999999998,0.0,16.596129220252003,0.1753042198018178,False,False,stable
9,559.8916,22.14202,421.87996000000004,0.0,22.145786720153406,0.13484407746586577,False,False,stable
9,559.8916,17.3237,356.85574,0.0,17.333053801164834,0.15819359110828296,False,False,stable
9,559.8916,24.92813,303.75186,0.0,24.98250025062725,0.23504592786976936,False,False,stable
9,559.8916,16.60259,240.50261999999998,0.0,16.59594423366831,0.17515249052506265,False,False,stable
10,565.80219,22.14202,421.899,0.0,22.14496980475351,0.13458997304156511,False,False,stable
10,565.80219,17.3237,358.81298,0.0,17.33243005584891,0.1567663128823304,False,True,stable
10,565.80219,24.92813,303.27509999999995,0.0,24.980769459939456,0.23544213019246726,False,False,stable
10,565.80219,16.60259,239.4616,0.0,16.59385070313626,0.1759145104687089,False,False,stable
11,571.52173,22.14202,425.5367600000001,0.0,22.14414177753663,0.13340575748612232,False,True,stable
11,571.52173,17.3237,360.8234,0.0,17.33085421773652,0.15560329013412208,False,True,stable
11,571.52173,24.92813,302.07543999999996,0.0,24.979676690798406,0.2373023699674884,False,False,stable
11,571.52173,16.60259,239.78936000000004,0.0,16.593953136081726,0.17547983281247476,False,False,stable
12,577.48108,22.14202,424.80075999999997,0.0,22.143173135917053,0.1332871295608838,False,False,stable
12,577.48108,17.3237,361.34952,0.0,17.329645404658763,0.1550853082991939,False,False,stable
12,577.48108,24.92813,303.39056,0.0,24.976797458924228,0.2362825091444052,False,True,stable
12,577.48108,16.60259,239.23782,0.0,16.59345653305596,0.17540441277634336,False,False,stable
13,582.81073,22.14202,433.4472400000001,0.0,22.142431639411782,0.13224481092252477,False,True,stable
13,582.81073,17.3237,366.94164,0.0,17.328554200078475,0.15438212186414532,False,True,stable
13,582.81073,24.92813,308.55446,0.0,24.97396740868546,0.23524351112459477,False,True,stable
13,582.81073,16.56981,241.46403999999998,-0.03277999999999892,16.584551007511614,0.17100645347789534,True,False,stable
14,588.28162,22.14202,435.56226000000004,0.0,22.141584087392506,0.13147716728037862,False,True,stable
14,588.28162,17.3237,368.43904,0.0,17.327187303406582,0.15327720760018368,False,True,stable
14,588.28162,24.89535,308.7337,-0.03277999999999892,24.96000120795004,0.21452857615379778,True,False,stable
14,588.28162,16.56981,242.35178000000002,0.0,16.583817304363524,0.170226164700575,False,False,stable
15,593.93658,22.14202,438.3594,0.0,22.139900345193432,0.1303531874440269,False,True,stable
15,593.93658,17.3237,369.82336,0.0,17.325906373260327,0.15155435902799785,False,False,stable
15,593.93658,24.89535,309.98062,0.0,24.954766911543388,0.2130416876692007,False,False,stable
15,593.93658,16.56981,241.56167999999997,0.0,16.582661439847016,0.17088526835605675,False,False,stable
16,599.36938,22.14202,439.61481999999995,0.0,22.139482997547514,0.12962961288712183,False,False,stable
16,599.36938,17.3237,373.49544,0.0,17.324807505850835,0.14970429426698048,False,True,stable
16,599.36938,24.89535,312.61596,0.0,24.950850731863916,0.20996567173048108,False,True,stable
16,599.36938,16.56981,241.11513999999997,0.0,16.58200882750855,0.17079818115333373,False,False,stable
17,604.9613,22.14202,441.79702,0.0,22.138381241821047,0.12882819614026528,False,True,stable
17,604.9613,17.3237,376.18325999999996,0.0,17.32311765502558,0.14852445265932282,False,True,stable
17,604.9613,24.89535,314.45398,0.0,24.94934368066,0.20995814660774725,False,False,stable
17,604.9613,16.56981,240.63298,0.0,16.579374730244993,0.17024346051294872,False,False,stable
18,610.87329,22.14202,444.94641999999993,0.0,22.137270418257366,0.12775193508356533,False,True,stable
18,610.87329,17.3237,377.95097999999996,0.0,17.32181418773986,0.14697872228945263,False,True,stable
18,610.87329,24.89535,316.48508000000004,0.0,24.945105261364326,0.20824880201251755,False,True,stable
18,610.87329,16.56981,239.85134000000002,0.0,16.57869323334544,0.17055581915744905,False,False,stable
19,616.73468,22.14202,448.89570000000003,0.0,22.13658268896963,0.12673202732969743,False,True,stable
19,616.73468,17.3237,379.10265999999996,0.0,17.32025493303233,0.1460243183653962,False,False,stable
19,616.73468,24.89535,318.76122,0.0,24.94182303493917,0.20599651300490845,False,True,stable
19,616.73468,16.56981,240.89994000000002,0.0,16.577973100471933,0.16906273068918995,False,False,stable
20,623.03223,22.14202,449.68992,0.0,22.134853050073115,0.12600331526815864,False,False,stable
20,623.03223,17.3237,383.18284000000006,0.0,17.3190882262855,0.14402376169336767,False,True,stable
20,623.03223,24.89535,318.29514,0.0,24.94203637385771,0.20749996183017916,False,False,stable
20,623.03223,16.56981,240.65942,0.0,16.576914706478775,0.16832061409102908,False,False,stable
21,628.37122,22.14202,459.79484,0.0,22.13429959539009,0.12490905850010228,False,True,stable
21,628.37122,17.3237,388.57262000000003,0.0,17.31803052593029,0.14332830567206437,False,True,stable
21,628.37122,24.89535,325.6059,0.0,24.935844053971913,0.20426437087413646,False,True,stable
21,628.37122,16.56981,243.79912,0.0,16.576146659625834,0.16808063494861164,False,False,stable
22,634.32953,22.14202,462.07246,0.0,22.13317377716807,0.12363221238097019,False,True,stable
22,634.32953,17.3237,391.58676,0.0,17.31607654379023,0.14132047154800026,False,True,stable
22,634.32953,24.89535,327.54679999999996,0.0,24.93371452087065,0.2056311584294532,False,True,stable
22,634.32953,16.56981,243.23674,0.0,16.574251843102715,0.16801481209064437,False,False,stable
23,640.79529,22.14202,466.0144,0.0,22.131964404841334,0.12241522353740379,False,True,stable
23,640.79529,17.3237,393.5144,0.0,17.314550309938237,0.14032956611374786,False,True,stable
23,640.79529,24.89535,329.99068,0.0,24.92929952854371,0.20231391475673943,False,True,stable
23,640.79529,16.56981,243.56248,0.0,16.572944704996793,0.16722666530578895,False,False,stable
24,646.38263,22.14202,469.9402,0.0,22.131597135056786,0.12124008742744256,False,True,stable
24,646.38263,17.3237,396.65137999999996,0.0,17.31432470554281,0.13857734471071195,False,True,stable
24,646.38263,24.89535,331.63846,0.0,24.928326149163013,0.2018141171971613,False,True,stable
24,646.38263,16.56981,241.98948000000001,0.0,16.57326423771228,0.16737673212414078,False,False,stable
25,650.89789,22.14202,473.02144,0.0,22.13078122090268,0.12017848101464408,False,True,stable
25,650.89789,17.3237,398.7822,0.0,17.313337650906085,0.13668115551890744,False,True,stable
25,650.89789,24.86257,332.88815999999997,-0.03277999999999892,24.914429899327473,0.18202769171424873,True,True,stable
25,650.89789,16.56981,242.26758,0.0,16.57210572385445,0.16597667664739277,False,False,stable
26,656.79468,22.14202,475.37458000000004,0.0,22.129141962930856,0.11921643743689798,False,True,stable
26,656.79468,17.3237,400.3068,0.0,17.310933418040623,0.13588108326757117,False,False,stable
26,656.79468,24.86257,336.17884,0.0,24.911026924627926,0.1804616069909829,False,True,stable
26,656.79468,16.56981,241.33124000000004,0.0,16.570256186184857,0.1668199084612297,False,False,stable
27,662.87988,22.14202,480.75010000000003,0.0,22.12835515891265,0.11788425869985218,False,True,stable
27,662.87988,17.3237,404.33389999999997,0.0,17.31027932677086,0.13386142815125823,False,True,stable
27,662.87988,24.86257,338.44032,0.0,24.907927898102532,0.17902890985497577,False,True,stable
27,662.87988,16.56981,240.90191999999996,0.0,16.570458140557886,0.16520491533934284,False,False,stable
28,668.56299,22.14202,485.94054000000006,0.0,22.127552011540896,0.11665425490937273,False,True,stable
28,668.56299,17.3237,406.31342,0.0,17.3095801333042,0.1321441712609544,False,False,stable
28,668.56299,24.86257,342.765,0.0,24.904630591838924,0.17583767357769262,False,True,stable
28,668.56299,16.56981,238.92770000000002,0.0,16.569501347172935,0.16554195641781602,False,False,stable
29,673.3446,22.10925,495.95778,-0.0327699999999993,22.124284696971387,0.11505841510867047,True,True,stable
29,673.3446,17.3237,413.47652,0.0,17.307854575353968,0.13077075456109985,False,True,stable
29,673.3446,24.86257,349.0294,0.0,24.90291773194265,0.17470826234691353,False,True,stable
29,673.3446,16.56981,241.10538000000003,0.0,16.567481288855316,0.16455436924078132,False,False,stable
30,680.2356,22.10925,500.85452000000004,0.0,22.123188723515252,0.11416264316938583,False,True,stable
