scan,ctemp,angle,intensity,shift,fitted_center,fitted_sigma,is_shifted
0,511.47961,15.56426,565.9504200000001,0.0,15.528814699345308,0.24078759422364426,False
0,511.47961,28.78227,261.6887,0.0,28.829296611576034,0.2900377308277132,False
0,511.47961,25.93968,222.89234000000002,0.0,25.910205046840915,0.27891133909186777,False
1,516.51782,15.56426,563.79408,0.0,15.527252057833302,0.24041549625260636,False
1,516.51782,28.78227,260.99012,0.0,28.829121926853933,0.2930963984749518,False
1,516.51782,25.93968,222.6578,0.0,25.909758895765442,0.27613478090741145,False
2,521.28119,15.56426,563.9906800000001,0.0,15.527032556332955,0.23909589432247047,False
2,521.28119,28.78227,259.64376000000004,0.0,28.827067917349986,0.2999351344179251,False
2,521.28119,25.93968,221.69062,0.0,25.908444058937434,0.27877584613152184,False
3,526.56451,15.56426,563.19666,0.0,15.527055891753786,0.23875415992689983,False
3,526.56451,28.78227,260.53280000000007,0.0,28.823262772013045,0.294327182744231,False
3,526.56451,25.93968,222.28305999999998,0.0,25.908007377768644,0.2755677439865348,False
4,533.01233,15.56426,566.04926,0.0,15.527034450965061,0.2376184725612499,False
4,533.01233,28.78227,260.30874000000006,0.0,28.822545727619975,0.30266950439568846,False
4,533.01233,25.93968,222.82408000000004,0.0,25.908446217325253,0.2762671632566647,False
5,538.96759,15.56426,570.0589000000001,0.0,15.526578620077716,0.23690841413659355,False
5,538.96759,28.78227,264.16824,0.0,28.817386635335797,0.2977967788423683,False
5,538.96759,25.93968,224.33292,0.0,25.907492849944955,0.2725356957951989,False
6,544.1214,15.56426,569.54338,0.0,15.526329458035587,0.2361974725075602,False
6,544.1214,28.74673,263.90872,-0.035540000000001015,28.804918309269368,0.2659733107882525,True
6,544.1214,25.93968,223.31778000000003,0.0,25.905692245497452,0.2754528372808737,False
7,549.02368,15.56426,568.5043999999999,0.0,15.526740215106381,0.23546873468508836,False
7,549.02368,28.74673,263.96562,0.0,28.801614091395535,0.26617573017604923,False
7,549.02368,25.93968,223.71095999999997,0.0,25.903939939898848,0.2736825245271247,False
8,554.1543,15.56426,568.74464,0.0,15.525384110700625,0.23503509838288858,False
8,554.1543,28.74673,263.75554,0.0,28.80102635175587,0.2715939045488171,False
8,554.1543,25.93968,224.2935,0.0,25.904444368113616,0.26928915984121626,False
9,559.8916,15.56426,568.58156,0.0,15.525918965351433,0.23377285834380815,False
9,559.8916,28.74673,263.85856,0.0,28.79582975429426,0.2673174171419399,False
9,559.8916,25.93968,223.27620000000002,0.0,25.90522689825609,0.2719493146734709,False
10,565.80219,15.56426,568.1664400000001,0.0,15.526126873210494,0.23411241746223574,False
10,565.80219,28.74673,264.96989999999994,0.0,28.792933804521688,0.26536007819926477,False
10,565.80219,25.93968,222.42705999999998,0.0,25.904151548823233,0.27268895895851025,False
11,571.52173,15.56426,567.57698,0.0,15.525011182916934,0.23335869339869328,False
11,571.52173,28.74673,263.66688,0.0,28.791575699286117,0.2703470635065921,False
11,571.52173,25.93968,223.96968,0.0,25.90392986308814,0.2676498679778042,False
12,577.48108,15.56426,568.29816,0.0,15.52615864273675,0.23033686300258188,False
12,577.48108,28.74673,264.15263999999996,0.0,28.788752189825733,0.26917898694074466,False
12,577.48108,25.93968,223.36640000000003,0.0,25.903407513009007,0.26716595869315407,False
13,582.81073,15.56426,574.5187400000001,0.0,15.52468805212108,0.2303839843578687,False
13,582.81073,28.74673,269.47411999999997,0.0,28.7852154776433,0.2669536559604785,False
13,582.81073,25.93968,225.48354,0.0,25.90184932855397,0.2697949482529275,False
14,588.28162,15.56426,576.61824,0.0,15.52534675029832,0.22906452080835304,False
14,588.28162,28.74673,268.26502,0.0,28.78296433251713,0.27140182478616376,False
14,588.28162,25.93968,226.05437999999998,0.0,25.901669852995305,0.2679945602721845,False
