    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0,     28.82,        3,    65385,   1.0000,    69783,      737,     0000, 4.5882083e-05,        0,        0,        5,    68844,    68375,        0,        0,        0,        0,       -2,     2741,    10126,     1372,     1410,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1,    28.825,        7,    65327,   1.0000,    69875,      736,     0000, 0.00010715324,        0,        0,        7,    68923,    68514,        0,        0,        0,        0,       -2,     2774,    10066,     1414,     1441,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2,     28.83,        8,    65258,   1.0000,    69814,      735,     0000, 0.00012259033,        0,        0,       10,    68852,    68511,        0,        0,        0,        0,       -2,     2817,    10165,     1395,     1477,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3,    28.835,       12,    65289,   1.0000,    69839,      736,     0000, 0.00018379819,        0,        0,       13,    68879,    68562,        0,        0,        0,        0,       -2,     2701,     9883,     1426,     1439,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4,     28.84,        8,    65252,   1.0000,    69797,      735,     0000, 0.00012260161,        0,        0,        9,    68893,    68512,        0,        0,        0,        0,       -2,     2707,     9996,     1400,     1399,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5,    28.845,        7,    65270,   1.0000,    69832,      736,     0000, 0.00010724682,        0,        0,        8,    68893,    68597,        0,        0,        0,        0,       -2,     2690,    10056,     1414,     1368,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6,     28.85,        9,    65317,   1.0000,    69876,      736,     0000, 0.00013778955,        0,        0,       11,    68946,    68651,        0,        0,        0,        0,       -2,     2856,    10253,     1481,     1496,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7,    28.855,        9,    65410,   1.0000,    69954,      737,     0000, 0.00013759364,        0,        0,       10,    69059,    68723,        0,        0,        0,        0,       -2,     2719,    10030,     1406,     1438,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8,     28.86,       10,    65283,   1.0000,    69823,      735,     0000, 0.00015317924,        0,        0,       10,    68906,    68651,        0,        0,        0,        0,       -2,     2766,    10086,     1438,     1437,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9,    28.865,       11,    65206,   1.0000,    69740,      735,     0000, 0.00016869613,        0,        0,       11,    68852,    68571,        0,        0,        0,        0,       -2,     2713,     9912,     1407,     1451,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10,     28.87,        7,    65244,   1.0000,    69777,      735,     0000, 0.00010728956,        0,        0,        7,    68862,    68648,        0,        0,        0,        0,       -2,     2728,     9993,     1436,     1410,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11,    28.875,       12,    65294,   1.0000,    69846,      735,     0000, 0.00018378411,        0,        0,       12,    68959,    68703,        0,        0,        0,        0,       -2,     2726,    10128,     1442,     1391,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   12,     28.88,        7,    65224,   1.0000,    69790,      735,     0000, 0.00010732246,        0,        0,        8,    68901,    68676,        0,        0,        0,        0,       -2,     2726,    10132,     1410,     1461,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   13,    28.885,        8,    65271,   1.0000,    69824,      735,     0000, 0.00012256592,        0,        0,        8,    68973,    68709,        0,        0,        0,        0,       -2,     2653,    10010,     1372,     1506,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
