    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0, 22.9209961,        8,    64819,   1.0000,    69175,      731,     0000, 0.0001234206,        0,        0,        8,    68054,    67705,        0,        0,        0,        0,       -2,     1999,     7528,     1066,     1045,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, 22.9259961,        2,    64694,   1.0000,    69195,      732,     0000, 3.0914768e-05,        0,        0,        2,    68044,    67704,        0,        0,        0,        0,       -2,     2041,     7450,     1022,     1044,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, 22.9309961,        9,    64562,   1.0000,    69077,      732,     0000, 0.00013940089,        0,        0,       10,    67881,    67635,        0,        0,        0,        0,       -2,     2021,     7559,     1080,     1020,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, 22.9359961,        7,    64461,   1.0000,    68977,      733,     0000, 0.00010859279,        0,        0,        7,    67768,    67529,        0,        0,        0,        0,       -2,     2029,     7662,     1121,     1017,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, 22.9409961,        7,    64487,   1.0000,    68992,      734,     0000, 0.00010854901,        0,        0,        7,    67760,    67553,        0,        0,        0,        0,       -2,     2106,     7882,     1090,     1099,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, 22.9459961,        9,    64493,   1.0000,    68990,      732,     0000, 0.00013955003,        0,        0,       10,    67783,    67534,        0,        0,        0,        0,       -2,     2128,     7936,     1093,     1054,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, 22.9509961,        9,    64474,   1.0000,    68965,      732,     0000, 0.00013959115,        0,        0,       10,    67790,    67511,        0,        0,        0,        0,       -2,     2160,     8133,     1072,     1103,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, 22.9559961,        7,    64550,   1.0000,    69049,      732,     0000, 0.00010844307,        0,        0,        7,    67897,    67537,        0,        0,        0,        0,       -2,     2110,     8081,     1117,     1136,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, 22.9609961,        7,    64582,   1.0000,    69101,      732,     0000, 0.00010838933,        0,        0,        7,    67970,    67580,        0,        0,        0,        0,       -2,     2202,     8039,     1123,     1080,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, 22.9659961,        8,    64716,   1.0000,    69228,      732,     0000, 0.00012361703,        0,        0,        9,    68057,    67792,        0,        0,        0,        0,       -2,     2244,     8368,     1192,     1132,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10, 22.9709961,        9,    64900,   1.0000,    69440,      732,     0000, 0.00013867488,        0,        0,        9,    68280,    68012,        0,        0,        0,        0,       -2,     2277,     8508,     1233,     1185,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11, 22.9759961,        6,    65045,   1.0000,    69593,      731,     0000, 9.2243831e-05,        0,        0,        6,    68458,    68192,        0,        0,        0,        0,       -2,     2296,     8576,     1234,     1218,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   12, 22.9809961,        8,    65112,   1.0000,    69641,      732,     0000, 0.00012286522,        0,        0,        8,    68531,    68282,        0,        0,        0,        0,       -2,     2337,     8729,     1227,     1219,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   13, 22.9859961,        8,    65276,   1.0000,    69817,      731,     0000, 0.00012255653,        0,        0,        8,    68678,    68525,        0,        0,        0,        0,       -2,     2412,     9039,     1233,     1295,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   14, 22.9909961,        9,    65464,   1.0000,    70027,      732,     0000, 0.00013748014,        0,        0,       11,    68912,    68741,        0,        0,        0,        0,       -2,     2399,     9162,     1261,     1190,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   15, 22.9959961,       14,    65452,   1.0000,    70022,      732,     0000, 0.00021389721,        0,        0,       15,    68896,    68809,        0,        0,        0,        0,       -2,     2477,     9194,     1282,     1344,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
