    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0,     18.16,        6,    64705,   1.0000,    69046,      740,     0000, 9.2728537e-05,        0,        0,        8,    68408,    68207,        0,        0,        0,        0,       -2,     1518,     5630,      812,      813,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1,    18.165,        6,    64475,   1.0000,    68945,      739,     0000, 9.3059325e-05,        0,        0,        7,    68311,    68125,        0,        0,        0,        0,       -2,     1467,     5444,      761,      758,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2,     18.17,        7,    64502,   1.0000,    68987,      740,     0000, 0.00010852377,        0,        0,        7,    68409,    68111,        0,        0,        0,        0,       -2,     1586,     5786,      819,      826,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3,    18.175,        4,    64499,   1.0000,    68999,      740,     0000, 6.2016465e-05,        0,        0,        4,    68397,    68148,        0,        0,        0,        0,       -2,     1482,     5568,      768,      805,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4,     18.18,        6,    64569,   1.0000,    69075,      738,     0000, 9.2923849e-05,        0,        0,        6,    68453,    68179,        0,        0,        0,        0,       -2,     1442,     5455,      736,      745,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5,    18.185,        7,    64565,   1.0000,    69052,      740,     0000, 0.00010841787,        0,        0,        9,    68415,    68174,        0,        0,        0,        0,       -2,     1547,     5584,      813,      808,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6,     18.19,        2,    64515,   1.0000,    69003,      740,     0000, 3.1000543e-05,        0,        0,        2,    68373,    68093,        0,        0,        0,        0,       -2,     1478,     5440,      709,      753,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7,    18.195,        6,    64442,   1.0000,    68922,      741,     0000, 9.310698e-05,        0,        0,        6,    68250,    68015,        0,        0,        0,        0,       -2,     1425,     5420,      796,      718,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8,      18.2,        7,    64387,   1.0000,    68856,      740,     0000, 0.0001087176,        0,        0,        9,    68152,    67937,        0,        0,        0,        0,       -2,     1579,     5599,      817,      823,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9,    18.205,        6,    64346,   1.0000,    68812,      741,     0000, 9.3245889e-05,        0,        0,        7,    68137,    67858,        0,        0,        0,        0,       -2,     1526,     5691,      841,      822,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10,     18.21,        7,    64398,   1.0000,    68863,      741,     0000, 0.00010869903,        0,        0,        9,    68181,    67896,        0,        0,        0,        0,       -2,     1515,     5584,      807,      800,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11,    18.215,        4,    64465,   1.0000,    68940,      740,     0000, 6.2049174e-05,        0,        0,        4,    68223,    67932,        0,        0,        0,        0,       -2,     1509,     5546,      745,      779,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   12,     18.22,        6,    64492,   1.0000,    68974,      739,     0000, 9.3034795e-05,        0,        0,        6,    68260,    67929,        0,        0,        0,        0,       -2,     1480,     5441,      757,      721,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   13,    18.225,        4,    64445,   1.0000,    68923,      741,     0000, 6.206843e-05,        0,        0,        4,    68164,    67927,        0,        0,        0,        0,       -2,     1469,     5608,      788,      824,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   14,     18.23,        6,    64415,   1.0000,    68890,      740,     0000, 9.3146006e-05,        0,        0,        6,    68100,    67896,        0,        0,        0,        0,       -2,     1531,     5555,      768,      859,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   15,    18.235,        5,    64442,   1.0000,    68935,      740,     0000, 7.758915e-05,        0,        0,        6,    68157,    67881,        0,        0,        0,        0,       -2,     1528,     5557,      793,      799,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   16,     18.24,       11,    64447,   1.0000,    68935,      740,     0000, 0.00017068289,        0,        0,       11,    68148,    67870,        0,        0,        0,        0,       -2,     1477,     5594,      777,      743,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   17,    18.245,        5,    64546,   1.0000,    69037,      740,     0000, 7.7464134e-05,        0,        0,        5,    68262,    67930,        0,        0,        0,        0,       -2,     1576,     5625,      766,      829,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   18,     18.25,        8,    64507,   1.0000,    68983,      740,     0000, 0.00012401755,        0,        0,        9,    68194,    67902,        0,        0,        0,        0,       -2,     1575,     5701,      819,      781,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   19,    18.255,        6,    64397,   1.0000,    68877,      740,     0000, 9.3172042e-05,        0,        0,        6,    68051,    67806,        0,        0,        0,        0,       -2,     1608,     5731,      818,      829,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
