    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0, 11.5509961,       11,    65104,   1.0000,    69472,      737,     0000, 0.00016896043,        0,        0,       12,    68585,    68309,        0,        0,        0,        0,       -2,      633,     2234,      336,      308,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, 11.5559961,        9,    64935,   1.0000,    69451,      738,     0000, 0.00013860014,        0,        0,       11,    68566,    68296,        0,        0,        0,        0,       -2,      601,     2157,      292,      328,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, 11.5609961,        7,    64983,   1.0000,    69521,      737,     0000, 0.00010772048,        0,        0,        7,    68602,    68414,        0,        0,        0,        0,       -2,      602,     2232,      308,      356,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, 11.5659961,        6,    64958,   1.0000,    69501,      737,     0000, 9.2367376e-05,        0,        0,        7,    68582,    68392,        0,        0,        0,        0,       -2,      665,     2219,      301,      341,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, 11.5709961,       10,    64910,   1.0000,    69448,      739,     0000, 0.00015405947,        0,        0,       11,    68537,    68320,        0,        0,        0,        0,       -2,      607,     2204,      292,      313,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, 11.5759961,        6,    64881,   1.0000,    69420,      739,     0000, 9.2476996e-05,        0,        0,        6,    68472,    68306,        0,        0,        0,        0,       -2,      623,     2170,      324,      314,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, 11.5809961,        7,    64910,   1.0000,    69449,      737,     0000, 0.00010784163,        0,        0,        7,    68547,    68268,        0,        0,        0,        0,       -2,      626,     2251,      315,      335,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, 11.5859961,       11,    64894,   1.0000,    69420,      739,     0000, 0.0001695072,        0,        0,       11,    68525,    68282,        0,        0,        0,        0,       -2,      586,     2116,      319,      319,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, 11.5909961,        6,    64793,   1.0000,    69317,      739,     0000, 9.2602596e-05,        0,        0,        6,    68394,    68202,        0,        0,        0,        0,       -2,      631,     2208,      313,      295,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, 11.5959961,        6,    64913,   1.0000,    69454,      739,     0000, 9.2431408e-05,        0,        0,        7,    68547,    68279,        0,        0,        0,        0,       -2,      593,     2111,      305,      290,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10, 11.6009961,        5,    64902,   1.0000,    69436,      739,     0000, 7.7039228e-05,        0,        0,        5,    68487,    68308,        0,        0,        0,        0,       -2,      563,     2156,      304,      298,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11, 11.6059961,       10,    64916,   1.0000,    69448,      739,     0000, 0.00015404523,        0,        0,       10,    68606,    68202,        0,        0,        0,        0,       -2,      631,     2244,      288,      319,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   12, 11.6109961,        4,    64900,   1.0000,    69430,      740,     0000, 6.1633282e-05,        0,        0,        6,    68564,    68221,        0,        0,        0,        0,       -2,      619,     2178,      314,      305,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   13, 11.6159961,        6,    64916,   1.0000,    69441,      738,     0000, 9.2427137e-05,        0,        0,        6,    68510,    68309,        0,        0,        0,        0,       -2,      622,     2297,      308,      317,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   14, 11.6209961,        6,    64862,   1.0000,    69391,      740,     0000, 9.2504086e-05,        0,        0,        7,    68450,    68253,        0,        0,        0,        0,       -2,      647,     2191,      322,      318,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   15, 11.6259961,       11,    64896,   1.0000,    69417,      739,     0000, 0.00016950197,        0,        0,       12,    68503,    68241,        0,        0,        0,        0,       -2,      575,     2174,      296,      309,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   16, 11.6309961,        3,    64928,   1.0000,    69448,      741,     0000, 4.6205027e-05,        0,        0,        4,    68561,    68198,        0,        0,        0,        0,       -2,      614,     2227,      312,      325,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   17, 11.6359961,        6,    64930,   1.0000,    69463,      740,     0000, 9.2407208e-05,        0,        0,        7,    68539,    68237,        0,        0,        0,        0,       -2,      629,     2172,      299,      319,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   18, 11.6409961,        5,    64864,   1.0000,    69381,      740,     0000, 7.7084361e-05,        0,        0,        5,    68485,    68136,        0,        0,        0,        0,       -2,      601,     2176,      325,      326,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   19, 11.6459961,        6,    64853,   1.0000,    69368,      740,     0000, 9.2516923e-05,        0,        0,        6,    68442,    68116,        0,        0,        0,        0,       -2,      616,     2215,      321,      331,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   20, 11.6509961,       11,    64843,   1.0000,    69364,      741,     0000, 0.00016964052,        0,        0,       12,    68406,    68143,        0,        0,        0,        0,       -2,      601,     2194,      332,      310,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
