    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0, 27.1140039,        5,    64988,   1.0000,    69367,      732,     0000, 7.6937281e-05,        0,        0,        6,    67947,    67612,        0,        0,        0,        0,       -2,     2693,     9819,     1405,     1380,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, 27.1190039,       13,    64873,   1.0000,    69392,      730,     0000, 0.00020039153,        0,        0,       14,    67946,    67636,        0,        0,        0,        0,       -2,     2778,    10168,     1453,     1540,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, 27.1240039,       12,    64905,   1.0000,    69431,      731,     0000, 0.0001848856,        0,        0,       12,    67981,    67704,        0,        0,        0,        0,       -2,     2676,     9833,     1397,     1421,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, 27.1290039,        8,    64894,   1.0000,    69413,      730,     0000, 0.00012327796,        0,        0,        8,    67966,    67688,        0,        0,        0,        0,       -2,     2646,     9895,     1415,     1421,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, 27.1340039,       11,    64821,   1.0000,    69352,      731,     0000, 0.00016969809,        0,        0,       12,    67859,    67659,        0,        0,        0,        0,       -2,     2720,     9818,     1367,     1409,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, 27.1390039,       11,    64781,   1.0000,    69305,      730,     0000, 0.00016980287,        0,        0,       11,    67816,    67604,        0,        0,        0,        0,       -2,     2713,     9955,     1431,     1413,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, 27.1440039,       15,    64809,   1.0000,    69331,      731,     0000, 0.00023144934,        0,        0,       17,    67862,    67615,        0,        0,        0,        0,       -2,     2736,    10042,     1409,     1480,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, 27.1490039,        8,    64862,   1.0000,    69385,      730,     0000, 0.00012333878,        0,        0,        8,    67902,    67693,        0,        0,        0,        0,       -2,     2677,     9850,     1417,     1423,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, 27.1540039,        9,    64888,   1.0000,    69418,      729,     0000, 0.00013870053,        0,        0,       10,    67946,    67704,        0,        0,        0,        0,       -2,     2751,     9909,     1377,     1421,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, 27.1590039,        7,    64953,   1.0000,    69488,      729,     0000, 0.00010777023,        0,        0,        8,    68074,    67721,        0,        0,        0,        0,       -2,     2717,    10047,     1411,     1465,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
