    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0, 12.3330078,       19,    64605,   1.0000,    68923,      736,     0000, 0.00029409488,        0,        0,       19,    67887,    67622,        0,        0,        0,        0,       -2,      677,     2509,      372,      362,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, 12.3380078,       14,    64435,   1.0000,    68895,      736,     0000, 0.00021727322,        0,        0,       14,    67871,    67618,        0,        0,        0,        0,       -2,      667,     2526,      340,      375,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, 12.3430078,       14,    64353,   1.0000,    68828,      735,     0000, 0.00021755008,        0,        0,       14,    67846,    67545,        0,        0,        0,        0,       -2,      718,     2531,      348,      366,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, 12.3480078,       17,    64428,   1.0000,    68914,      737,     0000, 0.00026386043,        0,        0,       17,    67959,    67611,        0,        0,        0,        0,       -2,      657,     2540,      349,      387,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, 12.3530078,       15,    64366,   1.0000,    68856,      737,     0000, 0.00023304229,        0,        0,       15,    67898,    67607,        0,        0,        0,        0,       -2,      663,     2436,      324,      377,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, 12.3580078,       17,    64358,   1.0000,    68832,      736,     0000, 0.00026414743,        0,        0,       18,    67905,    67616,        0,        0,        0,        0,       -2,      694,     2525,      329,      355,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, 12.3630078,       21,    64340,   1.0000,    68791,      736,     0000, 0.00032639105,        0,        0,       21,    67870,    67607,        0,        0,        0,        0,       -2,      677,     2503,      343,      343,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, 12.3680078,       24,    64380,   1.0000,    68846,      735,     0000, 0.00037278658,        0,        0,       25,    67976,    67654,        0,        0,        0,        0,       -2,      682,     2504,      344,      365,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, 12.3730078,       19,    64351,   1.0000,    68822,      736,     0000, 0.00029525571,        0,        0,       19,    67983,    67643,        0,        0,        0,        0,       -2,      680,     2574,      349,      353,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, 12.3780078,       25,    64462,   1.0000,    68953,      735,     0000, 0.00038782539,        0,        0,       27,    68107,    67787,        0,        0,        0,        0,       -2,      739,     2606,      338,      396,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10, 12.3830078,       20,    64507,   1.0000,    68986,      736,     0000, 0.00031004387,        0,        0,       20,    68141,    67857,        0,        0,        0,        0,       -2,      707,     2535,      329,      383,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11, 12.3880078,       20,    64442,   1.0000,    68912,      736,     0000, 0.0003103566,        0,        0,       20,    68132,    67754,        0,        0,        0,        0,       -2,      690,     2548,      338,      403,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   12, 12.3930078,       27,    64453,   1.0000,    68915,      737,     0000, 0.0004189099,        0,        0,       28,    68151,    67784,        0,        0,        0,        0,       -2,      620,     2508,      308,      352,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   13, 12.3980078,       24,    64460,   1.0000,    68928,      736,     0000, 0.00037232392,        0,        0,       25,    68133,    67849,        0,        0,        0,        0,       -2,      711,     2570,      348,      403,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   14, 12.4030078,       20,    64481,   1.0000,    68961,      735,     0000, 0.00031016889,        0,        0,       21,    68172,    67878,        0,        0,        0,        0,       -2,      684,     2680,      346,      389,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   15, 12.4080078,       31,    64372,   1.0000,    68840,      736,     0000, 0.00048157584,        0,        0,       32,    68013,    67827,        0,        0,        0,        0,       -2,      684,     2689,      352,      386,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   16, 12.4130078,       36,    64344,   1.0000,    68798,      736,     0000, 0.00055949273,        0,        0,       36,    68015,    67732,        0,        0,        0,        0,       -2,      673,     2655,      342,      369,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   17, 12.4180078,       42,    64373,   1.0000,    68848,      737,     0000, 0.00065244745,        0,        0,       42,    68091,    67722,        0,        0,        0,        0,       -2,      680,     2652,      340,      389,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   18, 12.4230078,       39,    64401,   1.0000,    68865,      734,     0000, 0.00060558066,        0,        0,       40,    68060,    67794,        0,        0,        0,        0,       -2,      648,     2569,      336,      371,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   19, 12.4280078,       36,    64407,   1.0000,    68877,      735,     0000, 0.00055894546,        0,        0,       37,    68103,    67782,        0,        0,        0,        0,       -2,      652,     2712,      314,      362,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   20, 12.4330078,       47,    64350,   1.0000,    68813,      735,     0000, 0.00073038073,        0,        0,       48,    68044,    67733,        0,        0,        0,        0,       -2,      709,     2716,      369,      413,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   21, 12.4380078,       40,    64353,   1.0000,    68822,      735,     0000, 0.00062157164,        0,        0,       40,    68048,    67749,        0,        0,        0,        0,       -2,      647,     2626,      304,      358,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   22, 12.4430078,       50,    64316,   1.0000,    68776,      735,     0000, 0.00077741153,        0,        0,       50,    67970,    67735,        0,        0,        0,        0,       -2,      669,     2772,      355,      381,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   23, 12.4480078,       59,    64374,   1.0000,    68816,      735,     0000, 0.00091651909,        0,        0,       59,    68022,    67752,        0,        0,        0,        0,       -2,      753,     2804,      379,      449,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   24, 12.4530078,       86,    64324,   1.0000,    68768,      735,     0000, 0.0013369815,        0,        0,       86,    67958,    67729,        0,        0,        0,        0,       -2,      717,     2776,      359,      393,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   25, 12.4580078,      118,    64389,   1.0000,    68848,      737,     0000, 0.0018326112,        0,        0,      119,    68077,    67780,        0,        0,        0,        0,       -2,      654,     2798,      355,      414,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
