    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0, 24.9819922,       10,    65298,   1.0000,    69702,      731,     0000, 0.00015314405,        0,        0,       11,    68709,    68412,        0,        0,        0,        0,       -2,     2635,     9870,     1349,     1426,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, 24.9869922,        9,    65154,   1.0000,    69695,      731,     0000, 0.00013813427,        0,        0,        9,    68654,    68461,        0,        0,        0,        0,       -2,     2678,    10007,     1400,     1397,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, 24.9919922,        5,    65081,   1.0000,    69636,      732,     0000, 7.6827338e-05,        0,        0,        6,    68667,    68344,        0,        0,        0,        0,       -2,     2808,    10006,     1457,     1437,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, 24.9969922,       11,    65092,   1.0000,    69656,      731,     0000, 0.00016899158,        0,        0,       14,    68634,    68398,        0,        0,        0,        0,       -2,     2640,     9857,     1375,     1406,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, 25.0019922,       10,    65081,   1.0000,    69642,      731,     0000, 0.00015365468,        0,        0,       10,    68599,    68399,        0,        0,        0,        0,       -2,     2744,     9877,     1350,     1412,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, 25.0069922,       11,    65086,   1.0000,    69621,      730,     0000, 0.00016900716,        0,        0,       12,    68631,    68358,        0,        0,        0,        0,       -2,     2714,     9978,     1348,     1376,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, 25.0119922,        4,    65079,   1.0000,    69618,      732,     0000, 6.1463759e-05,        0,        0,        4,    68603,    68380,        0,        0,        0,        0,       -2,     2750,    10013,     1368,     1412,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, 25.0169922,       14,    65109,   1.0000,    69676,      731,     0000, 0.00021502404,        0,        0,       14,    68629,    68422,        0,        0,        0,        0,       -2,     2702,    10018,     1358,     1413,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, 25.0219922,        9,    65084,   1.0000,    69630,      732,     0000, 0.00013828283,        0,        0,       10,    68616,    68342,        0,        0,        0,        0,       -2,     2835,    10114,     1434,     1460,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, 25.0269922,       14,    64983,   1.0000,    69529,      731,     0000, 0.00021544096,        0,        0,       14,    68489,    68281,        0,        0,        0,        0,       -2,     2674,     9903,     1405,     1410,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
