    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0,     18.76,        5,    64988,   1.0000,    69362,      734,     0000, 7.6937281e-05,        0,        0,        6,    68600,    68363,        0,        0,        0,        0,       -2,     1479,     5632,      757,      750,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, 18.7629492,       15,    64807,   1.0000,    69313,      735,     0000, 0.00023145648,        0,        0,       15,    68567,    68297,        0,        0,        0,        0,       -2,     1562,     5715,      829,      791,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, 18.765918,        9,    64883,   1.0000,    69406,      734,     0000, 0.00013871122,        0,        0,       10,    68675,    68330,        0,        0,        0,        0,       -2,     1596,     5718,      800,      781,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, 18.7688672,        5,    64904,   1.0000,    69440,      735,     0000, 7.7036854e-05,        0,        0,        6,    68687,    68370,        0,        0,        0,        0,       -2,     1488,     5637,      729,      746,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, 18.7718359,        7,    64903,   1.0000,    69432,      734,     0000, 0.00010785326,        0,        0,        7,    68695,    68341,        0,        0,        0,        0,       -2,     1555,     5814,      812,      852,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, 18.7747852,        4,    64948,   1.0000,    69479,      734,     0000, 6.1587732e-05,        0,        0,        5,    68682,    68393,        0,        0,        0,        0,       -2,     1500,     5624,      784,      770,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, 18.7777539,        5,    65025,   1.0000,    69563,      733,     0000, 7.6893502e-05,        0,        0,        5,    68774,    68438,        0,        0,        0,        0,       -2,     1579,     5689,      782,      842,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, 18.7807031,        3,    64978,   1.0000,    69513,      734,     0000, 4.6169473e-05,        0,        0,        3,    68623,    68484,        0,        0,        0,        0,       -2,     1491,     5630,      795,      818,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, 18.7836719,       10,    64879,   1.0000,    69392,      736,     0000, 0.00015413308,        0,        0,       10,    68575,    68285,        0,        0,        0,        0,       -2,     1543,     5642,      771,      832,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, 18.7866211,        2,    64864,   1.0000,    69381,      736,     0000, 3.0833744e-05,        0,        0,        3,    68504,    68301,        0,        0,        0,        0,       -2,     1525,     5793,      788,      829,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10, 18.7895898,        6,    64866,   1.0000,    69397,      735,     0000, 9.2498381e-05,        0,        0,        8,    68517,    68249,        0,        0,        0,        0,       -2,     1535,     5645,      778,      743,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11, 18.7925391,        6,    64822,   1.0000,    69346,      735,     0000, 9.2561168e-05,        0,        0,        6,    68437,    68182,        0,        0,        0,        0,       -2,     1553,     5746,      826,      829,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   12, 18.7955078,       10,    64803,   1.0000,    69335,      735,     0000, 0.00015431384,        0,        0,       10,    68451,    68129,        0,        0,        0,        0,       -2,     1584,     5738,      789,      879,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   13, 18.798457,        7,    64775,   1.0000,    69302,      735,     0000, 0.00010806638,        0,        0,        7,    68390,    68131,        0,        0,        0,        0,       -2,     1498,     5554,      745,      769,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   14, 18.8014258,        5,    64814,   1.0000,    69346,      735,     0000, 7.7143827e-05,        0,        0,        5,    68483,    68094,        0,        0,        0,        0,       -2,     1623,     5785,      806,      854,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   15, 18.804375,        8,    64876,   1.0000,    69417,      736,     0000, 0.00012331216,        0,        0,        8,    68526,    68149,        0,        0,        0,        0,       -2,     1524,     5721,      798,      816,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   16, 18.8073242,        8,    64874,   1.0000,    69413,      735,     0000, 0.00012331597,        0,        0,       10,    68467,    68166,        0,        0,        0,        0,       -2,     1499,     5630,      758,      803,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   17, 18.810293,        4,    64892,   1.0000,    69417,      734,     0000, 6.164088e-05,        0,        0,        4,    68449,    68180,        0,        0,        0,        0,       -2,     1502,     5641,      812,      766,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   18, 18.8132422,        7,    64887,   1.0000,    69416,      735,     0000, 0.00010787985,        0,        0,        9,    68439,    68162,        0,        0,        0,        0,       -2,     1504,     5652,      779,      792,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   19, 18.8162109,        7,    64893,   1.0000,    69429,      734,     0000, 0.00010786988,        0,        0,        7,    68433,    68166,        0,        0,        0,        0,       -2,     1522,     5685,      767,      800,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   20, 18.8191602,        8,    64863,   1.0000,    69385,      735,     0000, 0.00012333688,        0,        0,       10,    68409,    68099,        0,        0,        0,        0,       -2,     1534,     5658,      789,      753,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   21, 18.8221289,        2,    64832,   1.0000,    69357,      735,     0000, 3.0848963e-05,        0,        0,        2,    68370,    68080,        0,        0,        0,        0,       -2,     1568,     5657,      764,      806,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   22, 18.8250781,        6,    64798,   1.0000,    69315,      734,     0000, 9.259545e-05,        0,        0,        6,    68320,    68048,        0,        0,        0,        0,       -2,     1591,     5640,      810,      803,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   23, 18.8280469,        6,    64769,   1.0000,    69275,      734,     0000, 9.263691e-05,        0,        0,        7,    68253,    68014,        0,        0,        0,        0,       -2,     1562,     5717,      819,      823,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   24, 18.8309961,        9,    64758,   1.0000,    69268,      734,     0000, 0.00013897897,        0,        0,        9,    68227,    68019,        0,        0,        0,        0,       -2,     1564,     5660,      785,      814,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   25, 18.8339648,        4,    64840,   1.0000,    69356,      734,     0000, 6.1690315e-05,        0,        0,        6,    68363,    68031,        0,        0,        0,        0,       -2,     1494,     5640,      717,      816,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
