    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0, 25.9769922,        9,    65517,   1.0000,    69896,      733,     0000, 0.00013736893,        0,        0,        9,    69049,    68752,        0,        0,        0,        0,       -2,     2689,     9940,     1417,     1415,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, 25.9819922,        4,    65391,   1.0000,    69930,      732,     0000, 6.1170497e-05,        0,        0,        4,    69076,    68747,        0,        0,        0,        0,       -2,     2709,    10068,     1414,     1444,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, 25.9869922,        8,    65393,   1.0000,    69951,      733,     0000, 0.00012233725,        0,        0,        9,    69033,    68778,        0,        0,        0,        0,       -2,     2724,     9966,     1392,     1440,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, 25.9919922,        7,    65393,   1.0000,    69963,      733,     0000, 0.0001070451,        0,        0,        7,    68975,    68806,        0,        0,        0,        0,       -2,     2771,    10078,     1464,     1458,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, 25.9969922,        9,    65451,   1.0000,    70014,      733,     0000, 0.00013750745,        0,        0,        9,    69049,    68789,        0,        0,        0,        0,       -2,     2847,    10097,     1448,     1488,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, 26.0019922,        8,    65398,   1.0000,    69959,      733,     0000, 0.0001223279,        0,        0,        8,    69002,    68686,        0,        0,        0,        0,       -2,     2702,     9968,     1436,     1454,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, 26.0069922,        9,    65304,   1.0000,    69865,      733,     0000, 0.00013781698,        0,        0,        9,    68835,    68628,        0,        0,        0,        0,       -2,     2732,    10071,     1405,     1410,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, 26.0119922,        9,    65255,   1.0000,    69816,      733,     0000, 0.00013792047,        0,        0,        9,    68773,    68543,        0,        0,        0,        0,       -2,     2801,    10019,     1343,     1421,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, 26.0169922,        9,    65293,   1.0000,    69841,      732,     0000, 0.0001378402,        0,        0,       10,    68757,    68573,        0,        0,        0,        0,       -2,     2740,    10028,     1365,     1446,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, 26.0219922,        5,    65402,   1.0000,    69968,      733,     0000, 7.6450261e-05,        0,        0,        5,    68910,    68603,        0,        0,        0,        0,       -2,     2700,     9955,     1414,     1424,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10, 26.0269922,        6,    65391,   1.0000,    69949,      733,     0000, 9.1755746e-05,        0,        0,        6,    68867,    68590,        0,        0,        0,        0,       -2,     2793,    10107,     1443,     1397,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11, 26.0319922,        8,    65411,   1.0000,    69958,      733,     0000, 0.00012230359,        0,        0,        8,    68869,    68575,        0,        0,        0,        0,       -2,     2687,     9905,     1437,     1340,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   12, 26.0369922,       13,    65371,   1.0000,    69922,      734,     0000, 0.00019886494,        0,        0,       14,    68743,    68582,        0,        0,        0,        0,       -2,     2700,     9947,     1353,     1422,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   13, 26.0419922,        5,    65358,   1.0000,    69903,      732,     0000, 7.6501729e-05,        0,        0,        5,    68754,    68484,        0,        0,        0,        0,       -2,     2785,    10106,     1408,     1455,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   14, 26.0469922,       10,    65359,   1.0000,    69925,      733,     0000, 0.00015300112,        0,        0,       10,    68774,    68488,        0,        0,        0,        0,       -2,     2650,     9909,     1427,     1384,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
