    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,  mpf_top,  mpf_bot,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
  103, 3763.7998,      153,   653859,   5.0000,   697413,     2416,     0000, 0.0002339954,        0,        0,      153,   914652,   912927,        0,        0, 819.98511, 185585.32,        0,        0,       59,     7613,    27406,     3933,     3918,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  104, 3799.5298,      180,   652772,   5.0000,   696160,     2391,     0000, 0.00027574712,        0,        0,      179,   913636,   911002,        0,        0, 819.98022, 185621.01,        0,        0,       62,     7523,    27137,     3785,     3899,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  105, 3835.2257,      147,   651729,   5.0000,   694980,     2392,     0000, 0.00022555387,        0,        0,      147,   912622,   908501,        0,        0, 819.97137, 185656.72,        0,        0,       75,     7475,    27166,     3929,     3862,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  106, 3870.9311,      179,   650868,   5.0000,   693873,     2432,     0000, 0.00027501736,        0,        0,      178,   911926,   906709,        0,        0, 819.98431, 185692.43,        0,        0,       59,     7522,    27078,     3940,     3936,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  107, 3906.6409,      159,   650164,   5.0000,   693228,     2435,     0000, 0.00024455368,        0,        0,      159,   909880,   907254,        0,        0, 819.97827, 185734.1,        0,        0,       72,     7389,    27095,     3803,     3840,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  108, 3948.3118,      171,   649097,   5.0000,   692202,     2424,     0000, 0.00026344291,        0,        0,      171,   908651,   905186,        0,        0, 819.99731, 185769.81,        0,        0,       52,     7484,    26960,     3791,     3820,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  109, 3984.0215,      145,   648118,   5.0000,   691017,     2469,     0000, 0.00022372469,        0,        0,      145,   906229,   904414,        0,        0, 820.02063, 185805.51,        0,        0,       65,     7485,    26977,     3870,     3900,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  110, 4019.7266,      150,   647546,   5.0000,   690397,     2409,     0000, 0.00023164378,        0,        0,      150,   906567,   902586,        0,        0, 819.99377, 185841.22,        0,        0,       65,     7352,    26537,     3860,     3844,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  111, 4055.4306,      162,   654800,   5.0000,   698080,     2393,     0000, 0.00024740379,        0,        0,      163,   915561,   913692,        0,        0, 820.0072, 185876.96,        0,        0,       65,     7548,    27293,     3910,     3927,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  112, 4091.1708,      156,   653954,   5.0000,   697157,     2370,     0000, 0.00023854889,        0,        0,      156,   915209,   911498,        0,        0, 820.00427, 185912.66,        0,        0,       61,     7474,    27054,     3899,     3922,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  113, 4126.8717,      144,   652652,   5.0000,   695874,     2381,     0000, 0.00022063826,        0,        0,      144,   912357,   911482,        0,        0, 819.96558, 185948.37,        0,        0,       64,     7560,    27228,     3829,     3878,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  114, 4162.5786,      193,   651885,   5.0000,   694988,     2385,     0000, 0.00029606449,        0,        0,      193,   912689,   908393,        0,        0, 819.99219, 185986.98,        0,        0,       50,     7403,    27127,     3837,     3855,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  115, 4201.1949,      181,   650904,   5.0000,   693877,     2375,     0000, 0.0002780748,        0,        0,      180,   910402,   908111,        0,        0, 819.97839, 186022.69,        0,        0,       60,     7523,    27040,     3843,     3813,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  116, 4236.9059,      150,   649759,   5.0000,   692750,     2378,     0000, 0.00023085482,        0,        0,      150,   909938,   905303,        0,        0, 819.97443, 186058.41,        0,        0,       55,     7580,    27200,     3838,     3831,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  117, 4272.6171,      156,   648779,   5.0000,   691924,     2410,     0000, 0.00024045168,        0,        0,      156,   908021,   904837,        0,        0, 820.01453, 186094.12,        0,        0,       54,     7347,    26717,     3751,     3842,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  118, 4308.3292,      157,   647900,   5.0000,   690930,     2407,     0000, 0.00024232135,        0,        0,      156,   906927,   903336,        0,        0, 819.98621, 186129.82,        0,        0,       74,     7262,    26747,     3753,     3753,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  119, 4344.0315,      165,   651114,   5.0000,   694477,     2400,     0000, 0.00025341184,        0,        0,      165,   911146,   908302,        0,        0, 819.97699, 186165.53,        0,        0,       60,     7436,    26909,     3892,     3873,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  120, 4379.7444,      181,   654039,   5.0000,   697443,     2407,     0000, 0.00027674191,        0,        0,      181,   915951,   911940,        0,        0, 819.97662, 186201.26,        0,        0,       65,     7503,    27037,     3835,     3860,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  121, 4415.4694,      182,   653383,   5.0000,   696881,     2411,     0000, 0.00027855025,        0,        0,      181,   913851,   912063,        0,        0, 819.96753, 186242.96,        0,        0,       68,     7436,    26969,     3755,     3936,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  122, 4457.1687,      171,   651961,   5.0000,   695325,     2415,     0000, 0.00026228563,        0,        0,      171,   911746,   910168,        0,        0, 819.98132, 186278.66,        0,        0,       65,     7516,    27143,     3817,     3939,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  123, 4492.8732,      169,   651155,   5.0000,   694267,     2407,     0000, 0.00025953882,        0,        0,      169,   910928,   908471,        0,        0, 820.01562, 186314.37,        0,        0,       83,     7559,    27099,     3956,     4006,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  124, 4528.5836,      155,   649837,   5.0000,   693032,     2400,     0000, 0.00023852135,        0,        0,      155,   909783,   906030,        0,        0, 820.0481, 186350.1,        0,        0,       62,     7522,    27165,     3849,     3966,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  125, 4564.3093,      151,   649357,   5.0000,   692505,     2386,     0000, 0.00023253773,        0,        0,      151,   908903,   905409,        0,        0, 820.00781, 186385.81,        0,        0,       77,     7412,    27003,     3849,     3929,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  126, 4600.0196,      152,   648746,   5.0000,   691853,     2388,     0000, 0.00023429817,        0,        0,      152,   908064,   903987,        0,        0, 820.00891, 186421.52,        0,        0,       52,     7347,    26910,     3825,     3947,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  127, 4635.7317,      141,   647655,   5.0000,   690559,     2382,     0000, 0.0002177085,        0,        0,      142,   906765,   902424,        0,        0, 819.99768, 186457.24,        0,        0,       65,     7445,    27008,     3818,     3823,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  128, 4671.4481,      144,   655323,   5.0000,   698867,     2375,     0000, 0.00021973897,        0,        0,      143,   917023,   914284,        0,        0, 819.99829, 186499.41,        0,        0,       58,     7642,    27289,     3918,     4017,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  129, 4713.6244,      182,   654122,   5.0000,   697602,     2373,     0000, 0.00027823556,        0,        0,      182,   915070,   912846,        0,        0, 819.99231, 186535.11,        0,        0,       48,     7558,    27162,     3926,     3923,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
  130, 4749.3226,      169,   652629,   5.0000,   696093,     2370,     0000, 0.00025895264,        0,        0,      168,   914592,   909157,        0,        0, 820.04498, 186570.81,        0,        0,       53,     7503,    27159,     3842,     3873,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
