angle_2theta_deg,intensity
24.92946,277.4949454545455
28.51733,244.35464545454542
30.33886,277.8537
31.9948,242.0352909090909
33.65074,218.32105454545456
35.14109,178.96783636363637
36.63143,182.88083636363638
